eps,kappa_eff [S/m]
5.36,0.002859
5.96,0.0027886
7.67,0.0037148
9.28,0.0034905
15.37,0.0068112
18.80,0.0069817
18.97,0.00601
24.25,0.0057925
24.80,0.011263
25.39,0.0062263
26.39,0.015665
28.64,0.011955
33.36,0.019819
36.71,0.022584
36.71,0.022584
36.79,0.020369
39.75,0.024571
41.65,0.026523
45.15,0.030851
45.75,0.030182
47.99,0.032236
49.81,0.030278
52.71,0.03387
53.23,0.033974
53.29,0.031614
53.32,0.036872
54.62,0.035712
54.71,0.03774
54.77,0.03112
55.36,0.035834
56.14,0.040274
56.54,0.038193
57.41,0.038049
57.56,0.038665
57.98,0.041054
59.20,0.044568
59.71,0.042375
64.81,0.046714
67.34,0.050917
74.65,0.059478
85.37,0.071133
